RMSE,MAE,R2,Target,Model
8.377304747882974,3.2479643679861367,0.6080871757654838,Duration_hours,KerasNN
8.451102817317413,3.455520638974879,0.6011518180168047,Duration_hours,Ridge
8.807037163062851,3.5685480094422557,0.5828127224344313,Duration_hours,NN_L2
8.814175181081072,3.685930324824441,0.5821361959194067,Duration_hours,NN_BatchNorm
8.83340755816475,3.9430908827737228,0.5803106633309034,Duration_hours,NN_Baseline
8.885214809279136,3.9512914809089934,0.5753733362410889,Duration_hours,NN_Combined
9.09678040755369,4.351205597277983,0.5549110419619326,Duration_hours,NN_Dropout
11.378571602660662,3.447041800900483,0.2769699632915002,Duration_hours,RandomForest
13.468669487548407,4.1845351403731295,-0.0130484990643546,Duration_hours,XGBoost
10.413474825665686,6.589581619414311,0.2356194308126243,El_kWh,RandomForest
10.417185482754387,6.754812678203506,0.235074586835514,El_kWh,KerasNN
10.486313308011722,6.947626694510767,0.2248889034196246,El_kWh,Ridge
10.956330285059128,7.007983291420522,0.1538477232233489,El_kWh,XGBoost
11.307987986636716,7.46371390422097,0.10707722600649516,El_kWh,NN_Baseline
11.324543561329032,7.462762477132788,0.10446072673404638,El_kWh,NN_L2
11.386568698956221,7.3467786268976,0.09462402815976168,El_kWh,NN_BatchNorm
11.502086551017456,7.43579143711196,0.07616058873996001,El_kWh,NN_Dropout
11.661166940837486,7.465614354608678,0.05042942493989788,El_kWh,NN_Combined
